month,avg_surcharge,tip_pct
2025-01-01,2.2180559000062257,0.26690220428550326
2025-02-01,2.2227299143837653,0.26935632662557524
2025-03-01,2.2112512127172184,0.267579429541674
2025-04-01,2.2046554817658444,0.26602565346301926
2025-05-01,2.187187300266955,0.2627103802270231
2025-06-01,2.17049324306577,0.264087220177698
2025-07-01,2.1346293871304667,0.2611343197823554
2025-08-01,2.0868272521120295,0.2575648973475383
2025-09-01,2.1432949791932896,0.25794111817349175
2025-10-01,2.164610026944889,0.2589090665462595
2025-11-01,2.1757551858863335,0.25552534424280005
2025-12-01,1.4807692307692308,0.20976399307822333
2026-06-01,2.5,0.38672151006898503
